regioncode,regionname,countrycode
1,"Latin America and Caribbean",44
2,"South Asia",1
3,"Middle East and North Africa",2
4,"Africa East",56
5,"Africa East",3
6,"Africa East",101
7,"Latin America and Caribbean",4
8,"Africa East",95
9,"Europe and Central Asia",5
10,"Africa West",69
11,"South Asia",6
12,"East Asia and Pacific",16
13,"Latin America and Caribbean",7
14,"South Asia",67
15,"Europe and Central Asia",8
16,"Latin America and Caribbean",61
17,"Latin America and Caribbean",9
18,"Europe and Central Asia",50
19,"Africa West",10
20,"Africa East",54
21,"South Asia",11
22,"Latin America and Caribbean",98
23,"Europe and Central Asia",12
24,"East Asia and Pacific",105
25,"Latin America and Caribbean",13
26,"Africa West",14
27,"Africa East",57
28,"Africa East",15
29,"Africa East",97
30,"Africa West",17
31,"Africa West",83
32,"Africa West",18
33,"South Asia",71
34,"Africa West",19
35,"Africa West",23
36,"Latin America and Caribbean",20
37,"East Asia and Pacific",75
38,"Latin America and Caribbean",21
39,"Africa East",22
40,"Latin America and Caribbean",24
41,"Latin America and Caribbean",30
42,"Latin America and Caribbean",29
43,"Africa West",55
44,"Africa East",28
45,"Europe and Central Asia",77
46,"Africa East",64
47,"Africa West",40
48,"Middle East and North Africa",31
49,"Latin America and Caribbean",32
50,"Latin America and Caribbean",42
51,"South Asia",45
52,"Africa East",34
53,"Africa East",51
54,"East Asia and Pacific",53
55,"Africa West",36
56,"Africa West",92
57,"Europe and Central Asia",37
58,"Africa West",38
59,"Latin America and Caribbean",39
60,"Africa West",41
61,"Latin America and Caribbean",43
62,"Middle East and North Africa",106
63,"East Asia and Pacific",46
64,"Africa West",60
65,"Middle East and North Africa",47
66,"Latin America and Caribbean",48
67,"Middle East and North Africa",49
68,"Europe and Central Asia",89
69,"Africa West",59
70,"Africa East",87
71,"East Asia and Pacific",99
72,"Latin America and Caribbean",74
73,"South Asia",58
74,"East Asia and Pacific",91
75,"East Asia and Pacific",62
76,"Europe and Central Asia",63
77,"Africa East",102
78,"East Asia and Pacific",65
79,"Europe and Central Asia",116
80,"Africa East",66
81,"Africa West",68
82,"Europe and Central Asia",70
83,"Africa East",78
84,"Latin America and Caribbean",72
85,"Middle East and North Africa",100
86,"Latin America and Caribbean",73
87,"Africa West",81
88,"Europe and Central Asia",126
89,"Europe and Central Asia",82
90,"Africa West",127
91,"Africa East",85
92,"Europe and Central Asia",118
93,"East Asia and Pacific",90
94,"Europe and Central Asia",96
95,"Middle East and North Africa",93
96,"Africa East",107
97,"Europe and Central Asia",103
98,"Europe and Central Asia",113
99,"Latin America and Caribbean",136
100,"East Asia and Pacific",114
101,"Latin America and Caribbean",119
102,"Latin America and Caribbean",124
103,"East Asia and Pacific",115
104,"East Asia and Pacific",117
105,"Africa West",131
106,"Europe and Central Asia",139
107,"Europe and Central Asia",143
108,"Europe and Central Asia",146
109,"East Asia and Pacific",148
110,"Africa East",152
111,"Middle East and North Africa",153
112,"Latin America and Caribbean",155
113,"East Asia and Pacific",157
114,"Europe and Central Asia",158
115,"Europe and Central Asia",161
116,"Latin America and Caribbean",163
117,"East Asia and Pacific",164
118,"Africa East",167
119,"Africa East",170
120,"Europe and Central Asia",175
121,"Latin America and Caribbean",176
